_id,SENJSKIH USKOKA 2,051/344-423,Rijeka,CENTAR ZA ODGOJ I OBRAZOVANJE,Grad Rijeka,51000,Ivone  Sabaric Rubesa,051/344-145,"Osnovna skola, Posebna ustanova odgoja i obrazovanja, Srednja s",http://centar-odgojiobrazovanje-ri.skole.hr/,"tatjana.kovacic@skole.hr, ured@centar-odgojiobrazovanje-ri.skol",08-071-026,Primorsko-goranska zupanija
1,LAGINJINA 1,"",Rijeka,Glazbena škola Ivana Matetića Ronjgova Rijeka,Primorsko-goranska županija,51000,Danijel  Trinajstić,"051/226-859, 051/227-570, 051/227-270","Osnovna škola, Srednja škola, Umjetnička škola",www.gs-imr.hr,ured@ogs-imateticaronjgova-ri.skole.hr,08-071-523,Primorsko-goranska županija
2,ANTUNA MIHANOVIĆA 21,"",Virovitica,Glazbena škola Jan Vlašimsky Virovitica,Grad Virovitica,33000,Damir  Mihaljević,"033/721-910, 033/721-805, 033/721-804","Osnovna škola, Srednja škola, Umjetnička škola","","glazbena@vlasimsky.hr, ravnatelj@vlasimsky.hr, racunovodstvo@vlasimsky.hr, ured@gs-jvlasimsky-vt.skole.hr",10-089-507,Virovitičko-podravska županija
3,Nikole Tesle 4,"",Virovitica,"CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU VIROVITICA",Grad Virovitica,33000,Stanislava  Đurčević,"033/721-854, 033/800-232","Osnovna škola, Srednja škola","","tajnistvo@coorvirovitica.hr, ured@coor-virovitica.skole.hr",10-089-004,Virovitičko-podravska županija
4,Vjekoslava Babukića 27,034/312-240,Požega,Glazbena škola Požega,Požeško-slavonska županija,34000,Alen  Kovačević,"034/273-630, 034/273-974","Osnovna škola, Srednja škola, Umjetnička škola",http://ss-glazbena-pozega.skole.hr/,"tajnistvo@glazbena-skola-pozega.hr, ured@ss-glazbena-pozega.skole.hr",11-077-508,Požeško-slavonska županija
5,Vukovarska 1,035/445-200,Slavonski Brod,Glazbena škola Slavonski Brod,Grad Slavonski Brod,35000,Mirela  Jagodić,"035/447-148, 035/445-200","Osnovna škola, Srednja škola, Umjetnička škola","",glazbena@gs-sbrod-sb.skole.hr,12-078-510,Brodsko-posavska županija
6,Dr. Franje Tuđmana 24e,023/315-757,Zadar,Glazbena škola Blagoje Bersa Zadar,Zadarska županija,23000,Branka  Višić Karavida,"023/319-127; 300-099, 023/300-098, 023 319-127","Osnovna škola, Srednja škola, Umjetnička škola",http://www.glazbena-skola-zadar.hr,gl-skola-blagoja-bersa-zd@zd.htnet.hr,13-107-521,Zadarska županija
7,TRG SVETOG TROJSTVA 1,031/215-661,Osijek,GLAZBENA ŠKOLA FRANJE KUHAČA Osijek,Osječko-baranjska županija,31000,Sunčana  Bašić,"031/211-064, 211-422, 099 327-03-03, 099 327-03-04, 091 2000-438","Osnovna škola, Srednja škola, Umjetnička škola",www.gsfk-osijek.hr,"gsfk@gsfk-osijek.hr, gsfk@gsfk-osijek.hr, gsfko@ogs-fkuhaca-os.skole.hr",14-060-520,Osječko-baranjska županija
8,DRINSKA 12/A,", ",Osijek,PROSVJETNO-KULTURNI CENTAR MAĐARA U REPUBLICI HRVATSKOJ,Ministarstvo znanosti obrazovanja i športa,31000,Janoš  Andoči,"031/ 274 - 339, 031/274-339, lokal 2, 031/274-340, 031/274-339 lokal  1","Osnovna škola, Srednja škola",www.pkcm.hr,"hmomk@pkcm.hr, hmomk@pkcm.hr",14-060-021,Osječko-baranjska županija
9,Sustjepanska 4,"",Dubrovnik,Dubrovačka privatna gimnazija,mr. sc. Tomislav Franušić,20000,Tomislav  Franušić,"091/108 2799, 020/332-844",Srednja škola,"","tomislav.franusic@pg-dubrovnik.net, tajnistvo@pg-dubrovnik.net",19-018-515,Dubrovačko-neretvanska županija
10,Zagrebačka 24,"",Dugo Selo,Glazbena škola Dugo Selo,Grad Dugo Selo,10370,Dario  Cebić,"","Osnovna škola, Srednja škola, Umjetnička škola","","glazbena.skola.ds@gmail.com, ured@gs-dugo-selo.skole.hr",01-020-003,Zagrebačka županija
11,Trg kralja Tomislava 18,"",Zagreb,Glazbena škola Brkanović,"Ivanka Brkanović, Trg kralja Tomislava 18",10000,Vedran  Brkanović,0958356708,"Osnovna škola, Srednja škola, Umjetnička škola",www.glazbenaskolabrkanovic.hr,"vedran.brkanovic@skole.hr, info@glazbenaskolabrkanovic.hr",21-114-626,Grad Zagreb županija
